Statistical profiling result from naudodon-neo.log, (2136 ticks, 678 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      8   72.7%          JS: ^S /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/tsx@4.7.1/node_modules/tsx/dist/cjs/index.cjs:1:974
      8  100.0%            JS: ^Module.load node:internal/modules/cjs/loader:1192:33
      3   27.3%          JS: ~S /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/tsx@4.7.1/node_modules/tsx/dist/cjs/index.cjs:1:974
      3  100.0%            JS: ^Module.load node:internal/modules/cjs/loader:1192:33
      3   21.4%      JS: ~wrapSafe node:internal/modules/cjs/loader:1252:18
      3  100.0%        JS: ~Module._compile node:internal/modules/cjs/loader:1321:37
      3  100.0%          JS: ~Module._extensions..js node:internal/modules/cjs/loader:1380:37
      3  100.0%            JS: ~Module.load node:internal/modules/cjs/loader:1192:33
      9    1.3%    JS: ^write node:fs:825:15
      9  100.0%      JS: ^writeAll node:internal/fs/streams:417:18
      9  100.0%        JS: ^WriteStream._write node:internal/fs/streams:475:40
      9  100.0%          JS: ^writeOrBuffer node:internal/streams/writable:540:23
      9  100.0%            JS: ^_write node:internal/streams/writable:445:16
      9    1.3%    JS: ^nextTick node:internal/process/task_queues:103:18
      4   44.4%      JS: ^lookup node:dns:140:16
      4  100.0%        JS: ^lookup4 node:internal/dgram:23:17
      4  100.0%          JS: ^Socket.send node:dgram:577:33
      4  100.0%            JS: ^<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1646
      3   33.3%      JS: ^resume node:internal/streams/readable:1245:16
      3  100.0%        JS: ^Readable.resume node:internal/streams/readable:1225:37
      3  100.0%          JS: ^pipeOnDrainFunctionResult node:internal/streams/readable:1068:44
      2   66.7%            JS: ^emit node:events:466:44
      1   33.3%            JS: *emit node:events:466:44
      2   22.2%      JS: ^maybeReadMore node:internal/streams/readable:855:23
      2  100.0%        JS: ^addChunk node:internal/streams/readable:548:18
      2  100.0%          JS: ^readableAddChunkPushByteMode node:internal/streams/readable:461:38
      2  100.0%            JS: ^Readable.push node:internal/streams/readable:385:35

    287   13.4%  /usr/lib/x86_64-linux-gnu/libc.so.6
    112   39.0%    JS: ~waitForWorker node:internal/modules/esm/hooks:521:16
    112  100.0%      JS: ~makeSyncRequest node:internal/modules/esm/hooks:600:18
    112  100.0%        JS: ~register node:internal/modules/esm/loader:472:11
    112  100.0%          JS: ~register node:internal/modules/esm/loader:330:11
    112  100.0%            JS: ~register node:internal/modules/esm/loader:600:18
     53   18.5%    JS: ~makeSyncRequest node:internal/modules/esm/hooks:600:18
     53  100.0%      JS: ~register node:internal/modules/esm/loader:472:11
     53  100.0%        JS: ~register node:internal/modules/esm/loader:330:11
     53  100.0%          JS: ~register node:internal/modules/esm/loader:600:18
     53  100.0%            JS: ~C file:///home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/tsx@4.7.1/node_modules/tsx/dist/esm/index.mjs:1:684
     25    8.7%    JS: ~AudioIO.ioStream.start /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/naudiodon-neo@2.4.1/node_modules/naudiodon-neo/index.js:79:20
     25  100.0%      JS: ~<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:972
     25  100.0%        JS: ^emit node:events:466:44
     25  100.0%          JS: ~emit node:domain:477:44
     25  100.0%            JS: ~startListening node:dgram:168:24
     18    6.3%    JS: ^fromStringFast node:buffer:441:24
     18  100.0%      JS: ^fromString node:buffer:460:20
     18  100.0%        JS: ^from node:buffer:292:28
     17   94.4%          JS: ^sliceBuffer node:dgram:483:21
     17  100.0%            JS: ^Socket.send node:dgram:577:33
      1    5.6%          JS: ~sliceBuffer node:dgram:483:21
      1  100.0%            JS: ~Socket.send node:dgram:577:33
     18    6.3%    JS: ^asString /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/fast-json-stringify@5.13.0/node_modules/fast-json-stringify/lib/serializer.js:101:12
     17   94.4%      JS: ^anonymous0 :7:25
     17  100.0%        JS: ^<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1646
     11   64.7%          JS: ^emit node:events:466:44
     11  100.0%            JS: ^emit node:domain:477:44
      6   35.3%          JS: *emit node:events:466:44
      6  100.0%            JS: ^emit node:domain:477:44
      1    5.6%      JS: ~anonymous0 :7:25
      1  100.0%        JS: ~<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1646
      1  100.0%          JS: ^emit node:events:466:44
      1  100.0%            JS: ^emit node:domain:477:44
     13    4.5%    Script: ~<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1
     13  100.0%      Builtin: AsyncModuleEvaluate
     13  100.0%        Builtin: CallApiCallbackGeneric
     13  100.0%          JS: ~run node:internal/modules/esm/module_job:216:12
     13  100.0%            Builtin: AsyncFunctionAwaitResolveClosure

     71    3.3%  sendmsg@@GLIBC_2.2.5
     70   98.6%    JS: ^doSend node:dgram:678:16
     70  100.0%      JS: ^defaultTriggerAsyncIdScope node:internal/async_hooks:455:36
     70  100.0%        JS: ^afterDns node:dgram:663:20
     42   60.0%          JS: ^processTicksAndRejections node:internal/process/task_queues:67:35
     28   40.0%          JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      1    1.4%    JS: ~doSend node:dgram:678:16
      1  100.0%      JS: ^defaultTriggerAsyncIdScope node:internal/async_hooks:455:36
      1  100.0%        JS: ^afterDns node:dgram:663:20
      1  100.0%          JS: ^processTicksAndRejections node:internal/process/task_queues:67:35

     59    2.8%  __write@@GLIBC_2.2.5
      5    8.5%    JS: ^internalCompileFunction node:internal/vm:124:33
      5  100.0%      JS: ^wrapSafe node:internal/modules/cjs/loader:1252:18
      5  100.0%        JS: ^Module._compile node:internal/modules/cjs/loader:1321:37
      3   60.0%          JS: ~S /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/tsx@4.7.1/node_modules/tsx/dist/cjs/index.cjs:1:974
      3  100.0%            JS: ^Module.load node:internal/modules/cjs/loader:1192:33
      2   40.0%          JS: ^S /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/tsx@4.7.1/node_modules/tsx/dist/cjs/index.cjs:1:974
      2  100.0%            JS: ^Module.load node:internal/modules/cjs/loader:1192:33
      4    6.8%    JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      4  100.0%      JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      2   50.0%        JS: ~<anonymous> node:crypto:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      1   25.0%        JS: ~getSource node:internal/modules/esm/load:40:25
      1  100.0%          JS: ~defaultLoad node:internal/modules/esm/load:110:27
      1  100.0%            JS: ~load node:internal/modules/esm/loader:399:13
      1   25.0%        JS: ~<anonymous> node:stream:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    1.7%    JS: ~toString node:internal/url:906:11
      1  100.0%      JS: ~URL node:internal/url:790:14
      1  100.0%        JS: ~packageResolve node:internal/modules/esm/resolve:789:24
      1  100.0%          JS: ~moduleResolve node:internal/modules/esm/resolve:887:23
      1  100.0%            JS: ~defaultResolve node:internal/modules/esm/resolve:1055:24
      1    1.7%    JS: ~resolvePackageTarget node:internal/modules/esm/resolve:470:30
      1  100.0%      JS: ~resolvePackageTarget node:internal/modules/esm/resolve:470:30
      1  100.0%        JS: ~resolvePackageTarget node:internal/modules/esm/resolve:470:30
      1  100.0%          JS: ~packageExportsResolve node:internal/modules/esm/resolve:576:31
      1  100.0%            JS: ~resolveExports node:internal/modules/cjs/loader:579:24
      1    1.7%    JS: ~readableAddChunkPushByteMode node:internal/streams/readable:461:38
      1  100.0%      JS: ~Readable.push node:internal/streams/readable:385:35
      1  100.0%        JS: ~<anonymous> node:internal/fs/streams:262:41
      1  100.0%          JS: ~wrapper node:fs:684:19
      1    1.7%    JS: ~push node:internal/fixed_queue:99:7
      1  100.0%      JS: ~nextTick node:internal/process/task_queues:103:18
      1  100.0%        JS: ~resume node:internal/streams/readable:1245:16
      1  100.0%          JS: ~Readable.resume node:internal/streams/readable:1225:37
      1  100.0%            JS: ~Readable.on node:internal/streams/readable:1125:33
      1    1.7%    JS: ~oninit node:internal/worker/io:231:16
      1  100.0%      JS: ~makeAsyncRequest node:internal/modules/esm/hooks:545:25
      1  100.0%        JS: ~resolve node:internal/modules/esm/loader:485:10
      1  100.0%          JS: ^resolve node:internal/modules/esm/loader:350:10
      1  100.0%            JS: ^getModuleJob node:internal/modules/esm/loader:233:21
      1    1.7%    JS: ~nextTick node:internal/process/task_queues:103:18
      1  100.0%      JS: ~lookup node:dns:140:16
      1  100.0%        JS: ~lookup4 node:internal/dgram:23:17
      1  100.0%          JS: ~Socket.bind node:dgram:237:33
      1  100.0%            Script: ~<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1
      1    1.7%    JS: ~maybeCacheSourceMap node:internal/source_map/source_map_cache:107:29
      1  100.0%      JS: ^wrapSafe node:internal/modules/cjs/loader:1252:18
      1  100.0%        JS: ^Module._compile node:internal/modules/cjs/loader:1321:37
